"fips_code","county","date","total_outage"
12003,"Baker",2022-09-01,1
12003,"Baker",2022-09-02,28.75
12003,"Baker",2022-09-03,0.75
12003,"Baker",2022-09-04,22.5
12003,"Baker",2022-09-05,10.25
12003,"Baker",2022-09-06,39
12003,"Baker",2022-09-07,21.75
12003,"Baker",2022-09-08,272
12003,"Baker",2022-09-09,202
12003,"Baker",2022-09-10,100
12003,"Baker",2022-09-11,68.5
12003,"Baker",2022-09-12,24.75
12003,"Baker",2022-09-13,51.5
12003,"Baker",2022-09-14,406.25
12003,"Baker",2022-09-15,68.5
12003,"Baker",2022-09-16,3.5
12003,"Baker",2022-09-17,45.25
12003,"Baker",2022-09-18,37.75
12003,"Baker",2022-09-19,3.25
12003,"Baker",2022-09-20,55
12003,"Baker",2022-09-21,5
12003,"Baker",2022-09-22,11.5
12003,"Baker",2022-09-23,21.75
12003,"Baker",2022-09-24,1
12003,"Baker",2022-09-25,23.25
12003,"Baker",2022-09-26,0.5
12003,"Baker",2022-09-27,2.5
12003,"Baker",2022-09-28,465.75
12003,"Baker",2022-09-29,9311
12003,"Baker",2022-09-30,3340.75
12003,"Baker",2022-10-01,40.25
12003,"Baker",2022-10-02,106
12003,"Baker",2022-10-03,2.75
12003,"Baker",2022-10-04,43
12003,"Baker",2022-10-05,142.75
12003,"Baker",2022-10-06,74
12003,"Baker",2022-10-07,9.5
12003,"Baker",2022-10-08,370.25
12003,"Baker",2022-10-09,2.5
12003,"Baker",2022-10-10,18.75
12003,"Baker",2022-10-11,8.25
12003,"Baker",2022-10-12,0.5
12003,"Baker",2022-10-13,199
12003,"Baker",2022-10-14,8.75
12003,"Baker",2022-10-15,20.5
12003,"Baker",2022-10-16,0
12003,"Baker",2022-10-17,17
12003,"Baker",2022-10-18,8.25
12003,"Baker",2022-10-19,49.5
12003,"Baker",2022-10-20,688.25
12003,"Baker",2022-10-21,0.75
12003,"Baker",2022-10-22,8.25
12003,"Baker",2022-10-23,15
12003,"Baker",2022-10-24,7.75
12003,"Baker",2022-10-26,0
12003,"Baker",2022-10-27,3.25
12003,"Baker",2022-10-30,0
12003,"Baker",2022-10-31,77.25
12003,"Baker",2022-11-01,3.5
12003,"Baker",2022-11-02,2.25
12003,"Baker",2022-11-03,0
12003,"Baker",2022-11-04,1.25
12003,"Baker",2022-11-05,4
12003,"Baker",2022-11-06,108.25
12003,"Baker",2022-11-07,7.75
12003,"Baker",2022-11-08,0
12003,"Baker",2022-11-09,0
12003,"Baker",2022-11-10,576.75
12003,"Baker",2022-11-11,2257
12003,"Baker",2022-11-12,0
12003,"Baker",2022-11-13,5
12003,"Baker",2022-11-14,79.75
12003,"Baker",2022-11-15,0.75
